latitude;longitude;class
39.950161;116.379097;0
39.951160;116.373230;0
39.950180;116.379181;0
39.947491;116.387604;0
39.945992;116.387527;0
39.947441;116.382088;0
39.942902;116.381691;0
39.950089;116.387199;0
39.947479;116.372704;0
39.947540;116.376068;0
39.949959;116.375549;0
39.950142;116.379608;0
39.946831;116.366043;0
39.947781;116.365608;0
39.956238;116.364922;0
39.953300;116.365051;0
39.950111;116.393013;0
39.950119;116.395309;0
39.937622;116.387390;0
39.937809;116.389832;0
39.938351;116.389664;0
39.938381;116.389648;0
39.938389;116.389648;0
39.938400;116.389664;0
39.938072;116.389687;0
39.938438;116.389664;0
39.938431;116.389664;0
39.939289;116.387878;0
39.939140;116.388733;0
39.937649;116.387421;0
39.939560;116.387863;0
39.940041;116.387817;0
39.939610;116.386337;0
39.939621;116.386383;0
39.939800;116.387787;0
39.940151;116.387787;0
39.940529;116.387772;0
39.941948;116.387718;0
39.940571;116.387749;0
39.942818;116.387703;0
39.942352;116.387688;0
39.940399;116.387779;0
39.940151;116.387787;0
39.939392;116.391159;0
39.940609;116.384880;0
39.944149;116.387604;0
39.947651;116.392929;0
39.936432;116.389870;0
39.936272;116.389748;0
39.936981;116.389748;0
39.937389;116.389748;0
39.937191;116.388069;0
39.958130;116.388809;0
39.943760;116.366112;0
39.944550;116.357117;0
39.946011;116.361549;0
39.937809;116.366570;0
39.956600;116.356194;0
39.950378;116.402153;0
39.950329;116.402153;0
39.949940;116.402267;0
39.946880;116.401779;0
39.949188;116.401848;0
39.947731;116.400146;0
39.947311;116.401642;0
39.950001;116.398613;0
39.949860;116.398331;0
39.955200;116.401901;0
39.943020;116.402069;0
39.947800;116.404037;0
39.944279;116.401970;0
39.945412;116.401939;0
39.945389;116.401932;0
39.944420;116.401978;0
39.931732;116.390198;0
39.928169;116.390160;0
39.931992;116.391068;0
39.932022;116.391823;0
39.932060;116.390823;0
39.932060;116.390831;0
39.931900;116.382294;0
39.931919;116.382652;0
39.931961;116.389359;0
39.931992;116.389427;0
39.932011;116.384521;0
39.931992;116.387779;0
39.931992;116.387611;0
39.931980;116.383698;0
39.933781;116.395439;0
39.932079;116.385849;0
39.932129;116.390877;0
39.934521;116.391418;0
39.932518;116.389999;0
39.932961;116.389961;0
39.934929;116.389900;0
39.934868;116.389908;0
39.934059;116.389870;0
39.933090;116.389961;0
39.935501;116.389801;0
39.936230;116.389748;0
39.935631;116.389816;0
39.932140;116.390900;0
39.932140;116.390907;0
39.932098;116.393761;0
39.927971;116.390228;0
39.939468;116.397476;0
39.932140;116.396622;0
39.932190;116.396729;0
39.932190;116.396744;0
39.932140;116.398003;0
39.939419;116.399818;0
39.932060;116.398720;0
39.932060;116.398727;0
39.932049;116.398712;0
39.967739;116.388206;0
39.967102;116.388977;0
39.967239;116.389183;0
39.961800;116.396278;0
39.963890;116.396278;0
39.960869;116.398064;0
39.960922;116.397980;0
39.960960;116.397888;0
39.961971;116.393509;0
39.962029;116.393562;0
39.961952;116.393494;0
39.961971;116.393501;0
39.962898;116.392647;0
39.961941;116.393494;0
39.961941;116.393448;0
39.962578;116.392487;0
39.964531;116.388657;0
39.965500;116.395538;0
39.961910;116.389038;0
39.935570;116.366699;0
39.942570;116.350723;0
39.940392;116.349159;0
39.944111;116.355423;0
39.930920;116.360802;0
39.930962;116.361008;0
39.929581;116.370667;0
39.929672;116.370689;0
39.930618;116.361839;0
39.930630;116.361870;0
39.930641;116.361870;0
39.930500;116.366707;0
39.931049;116.361900;0
39.929729;116.370697;0
39.930981;116.361313;0
39.928848;116.366890;0
39.931549;116.373009;0
39.931282;116.368332;0
39.931271;116.366913;0
39.931271;116.366501;0
39.931179;116.366203;0
39.931381;116.370399;0
39.933010;116.366676;0
39.931141;116.362602;0
39.953629;116.348984;0
39.957050;116.351738;0
39.956791;116.351837;0
39.957119;116.351227;0
39.958340;116.351028;0
39.958328;116.351028;0
39.940830;116.402191;0
39.940960;116.402184;0
39.941681;116.402092;0
39.946941;116.410316;0
39.947781;116.409828;0
39.948532;116.409981;0
39.947891;116.408142;0
39.942001;116.402092;0
39.959732;116.401588;0
39.954338;116.409187;0
39.951782;116.409721;0
39.937969;116.402283;0
39.939381;116.402252;0
39.939411;116.405067;0
39.939419;116.402367;0
39.937828;116.402237;0
39.960880;116.399834;0
39.960880;116.399742;0
39.960941;116.398888;0
39.960949;116.398842;0
39.960621;116.401222;0
39.960781;116.401482;0
39.933231;116.402390;0
39.933800;116.402679;0
39.936131;116.402344;0
39.936199;116.402328;0
39.935158;116.402412;0
39.939590;116.411392;0
39.939621;116.411079;0
39.939610;116.411263;0
39.939598;116.411377;0
39.940849;116.410568;0
39.941730;116.410461;0
39.941109;116.410469;0
39.952030;116.412689;0
39.947800;116.413933;0
39.947971;116.412216;0
39.947781;116.413910;0
39.932129;116.399834;0
39.925930;116.387398;0
39.932041;116.399338;0
39.923309;116.393219;0
39.920959;116.383499;0
39.921211;116.384842;0
39.921158;116.384689;0
39.932068;116.400330;0
39.931980;116.405190;0
39.931999;116.402260;0
39.932079;116.404297;0
39.931931;116.402008;0
39.931950;116.401970;0
39.932091;116.401917;0
39.932030;116.408020;0
39.932030;116.408028;0
39.966019;116.395821;0
39.965511;116.395599;0
39.965511;116.395660;0
39.966801;116.395767;0
39.975632;116.383270;0
39.975632;116.383362;0
39.975651;116.385590;0
39.974892;116.381897;0
39.974510;116.381752;0
39.967888;116.381851;0
39.972481;116.395943;0
39.969948;116.395920;0
39.972401;116.395950;0
39.972649;116.395821;0
39.968231;116.385071;0
39.968330;116.385017;0
39.971878;116.388138;0
39.967381;116.394569;0
39.968140;116.385101;0
39.972511;116.395866;0
39.972500;116.395889;0
39.974461;116.395599;0
39.975430;116.384041;0
39.975601;116.390411;0
39.967030;116.394501;0
39.967991;116.401558;0
39.967869;116.402397;0
39.967869;116.402451;0
39.967670;116.404358;0
39.967709;116.403816;0
39.967281;116.403954;0
39.967030;116.400833;0
39.968658;116.404953;0
39.970951;116.401077;0
39.971111;116.401070;0
39.971889;116.401031;0
39.973969;116.398888;0
39.973892;116.398941;0
39.973949;116.398819;0
39.973938;116.397209;0
